sentence_id,label,sentence,departure,arrival,template_id
1327,VALID,Je veux partir après le déjeuner de Châteaubriant pour Lannion,Châteaubriant,Lannion,134
835,VALID,Y a-t-il un train rapide sans arrêt Montbéliard Rouen ?,Montbéliard,Rouen,113
1284,VALID,Y a-t-il un train avant 8h de Clisson à Saint-Dizier ?,Clisson,Saint-Dizier,103
3412,INVALID,Centres éducatifs Poitiers,,,270
1825,INVALID,carte touristique de nantes,,,164
3264,INVALID,Archietctur de Noirt,,,198
3001,INVALID,Population totale Évreux,,,252
2002,INVALID,mende est une bbelle ville,,,153
3780,VALID,je vais de annemasse a cherbourg en train,Annemasse,Cherbourg,52
3726,VALID,je cherche a voyager de bordeaux a lorient en ter,Bordeaux,Lorient,148
1780,INVALID,quelle est la population de clisson ?,,,22
804,VALID,Train régonal de Vierzoà Roubaix ,Vierzon,Roubaix,87
482,VALID,Je cherche le train le plus économique de Saint-Étienne à Meaux,Saint-Étienne,Meaux,124
956,VALID,Y a-t-il un train tôt le matin de Hazebrouck vers Bar-le-Duc ?,Hazebrouck,Bar-le-Duc,62
3744,VALID,y a-t-il un depart tot demain de nancy vers toulouse ?,Nancy,Toulouse,125
1819,INVALID,j'habite à rouen,,,17
2826,INVALID,Cartographie Blois,,,237
957,VALID,Y a-t-il des réductions sur le train Carcassonne Nanterre ?,Carcassonne,Nanterre,99
1400,VALID,Train avec restauration de Le Havre à Dole,Le Havre,Dole,135
1000,VALID,Je cherche le train le moins cher de Brest à Metz,Brest,Metz,54
2180,INVALID,Entreprise connue à Pau,,,180
2099,INVALID,Mâcon est une belle ville,,,18
3875,INVALID,journaux locaux saumur,,,192
1881,INVALID,informations trafic annemasse,,,260
970,VALID,Je veux me rendre à Poitiers depuis Vernon par le train,Vernon,Poitiers,73
4023,VALID,Y a-t-il un Ouigo de Boulogne-sur-Mer vers Lorient ?,Boulogne-sur-Mer,Lorient,109
2768,INVALID,Patrimoine culturel Boulogne-sur-Mer,,,232
2776,INVALID,Hôpitaux à Vierzon,,,222
990,VALID,Y a-t-il un départ tôt demain de Digne-les-Bains vers Châlons-en-Champagne ?,Digne-les-Bains,Châlons-en-Champagne,125
1257,VALID,Je dois voyager de Challans à Nanterre ce week-end,Challans,Nanterre,77
1959,INVALID,zones industrielles granville,,,231
1301,VALID,Je cherche un train dimanche de Lens à Avignon,Lens,Avignon,132
3499,INVALID,Zones touristiques Avranches,,,249
1586,VALID,Train avec peu de correspondances de Chambéry vers Biarritz,Chambéry,Biarritz,127
425,VALID,Je dois être à Roubaix avant midi en partant de Meaux,Meaux,Roubaix,88
1806,INVALID,architecture de douai,,,198
1539,VALID,Je dois me rndre à Poitiers depuuis Saint-Nazaire en TGV,Saint-Nazaire,Poitiers,144
336,VALID,Train du soir Boulogne-Billancourt Mende,Boulogne-Billancourt,Mende,66
933,VALID,Y a-t-il un TGV Épinal Lons-le-Saunier ?,Épinal,Lons-le-Saunier,34
2101,INVALID,Carte administrative Fontainebleau,,,218
2704,INVALID,Centres commerciaux Antibes,,,226
3219,INVALID,Histoire de Cannes,,,171
4114,INVALID,Heure locale a Rouen,,,194
1683,VALID,Je pars en train de Oyonnax vers Saint-Étienne,Oyonnax,Saint-Étienne,71
1870,INVALID,carte générale reims,,,257
3247,INVALID,Hôtel disponible à Saint-Omer,,,163
2486,INVALID,Quartiers historiques Auray,,,227
2054,INVALID,population active reims,,,220
2619,INVALID,Informations trafic Chartres,,,260
3844,VALID,train matinal de colmar vers ajaccio,Colmar,Ajaccio,115
2130,INVALID,Écoles à Bar-le-Duc,,,213
444,VALID,Je cherche un train Arles Lorient,Arles,Lorient,14
3349,INVALID,Je suis né à Châteauroux,,,185
4084,VALID,Billet de train aller-retour Compiegne Abbeville,Compiègne,Abbeville,78
165,VALID,yy-at-il un départ en soirée d ecambéry pour thonon-ls-ebains ?,Chambéry,Thonon-les-Bains,141
2184,INVALID,Je vis à Auxerre,,,168
666,VALID,Je veux acheter un billet de train Mâcon Rouen,Mâcon,Rouen,83
1839,INVALID, zones résidentielles agen,,,274
3828,INVALID,calendrier evenements valenciennes,,,248
766,VALID,Y a-t-il un départ en début de soirée de Colmar pour Besançon ?,Colmar,Besançon,85
2604,INVALID,Ambassade à Angoulême,,,184
3137,INVALID,Mon ami vit à Cherbourg et moi à Saint-Nazaire,,,154
2716,INVALID,Festival à Segré,,,189
3998,VALID,Y a-t-il un train toutes les heures de Aix-les-Bains a Pontarlier ?,Aix-les-Bains,Pontarlier,89
1333,VALID,Train de Auch à Privas cet après-midi,Auch,Privas,59
2867,INVALID,Météo actuelle à Poitiers,,,167
179,VALID,je dois voyager en train de nanterre vers agen mercredi,Nanterre,Agen,136
2539,INVALID,Restaurant à Mende,,,25
1081,VALID,Billet aller simple en train Toul Cherbourg,Toul,Cherbourg,70
1908,INVALID,restaurant à elbeuf,,,25
1127,VALID,Train avec wifi de Aubenas à Manosque,Aubenas,Manosque,111
365,VALID,Je dois me rendre de Romans-sur-Isère à Évreux,Romans-sur-Isère,Évreux,7
2969,INVALID,Carte des routes Le Havre,,,223
462,VALID,Quel train prendre pour aller de Thonon-les-Bains à Besançon ?,Thonon-les-Bains,Besançon,84
1347,VALID,Tran quotdiien Boulogne-Billacnourt Annecy,Boulogne-Billancourt,Annecy,107
699,VALID,Train avc peu dec orrespondances de Montbéliard vers Paris,Montbéliard,Paris,127
37,VALID,y a-t-il un départ en début de soirée de bar-le-duc pour mâcon ?,Bar-le-Duc,Mâcon,85
1636,VALID,Je dois voyager de Douai à Caen ce week-end,Douai,Caen,77
1139,VALID,Je cherche un train Charleville-Mézières Briançon,Charleville-Mézières,Briançon,14
1726,VALID,Y a-t-il un train de nuit entre Béthune et Tourcoing ?,Béthune,Tourcoing,149
394,VALID,Un aller simple Perpignan Clermont-Ferrand,Perpignan,Clermont-Ferrand,10
961,VALID,À quelle heure arrive le train à Lisieux depuis Verdun ?,Verdun,Lisieux,48
2102,INVALID,Privas est magnifique en été,,,162
1860,INVALID,population totale saint-omer,,,252
898,VALID,Un billett Vity-leF-rançis Épernays 'il vous plaît,Vitry-le-François,Épernay,2
2462,INVALID,Événements locaux Arras,,,228
3707,VALID,je pars de ancnis direction dijon,Ancenis,Dijon,12
2247,INVALID,CCarte historique Agoulême,,,210
1917,INVALID,statistiques économiques pontivy,,,272
1309,VALID,Train avec places assises garanties Compiègne Montpellier,Compiègne,Montpellier,119
3233,INVALID,Concert prévu à Chalon-sur-Saône,,,174
1979,INVALID,mon ami vit à vendôme et moi à vitry-le-françois,,,154
2156,INVALID,Actualités à Bourgoin-Jallieu,,,178
314,VALID,Billet aller simple en train Bayonne Romans-sur-Isère,Bayonne,Romans-sur-Isère,70
1112,VALID,Je veux un billet flexible La Rochelle Évry,La Rochelle,Évry,114
460,VALID,Je veux partir de Vitré à Compiègne en première classe,Vitré,Compiègne,142
3576,INVALID,Population urbaine Saint-Dizier,,,266
1898,INVALID,plages proches de vesoul,,,181
1719,VALID,Je veux aller de Aix-les-Bains à Limoges,Aix-les-Bains,Limoges,1
1066,VALID,Train avec restauration de Évreux à Beauvais,Évreux,Beauvais,135
2652,INVALID,Actualités à Courbevoie,,,178
2888,INVALID,Heure locale à Sens,,,194
1746,VALID,Je cherche un trajet en train de Courbevoie vers Chalon-sur-Saône,Courbevoie,Chalon-sur-Saône,30
3268,INVALID,J'habite actuellement à Angoulême,,,161
3534,INVALID,Associations locales Albertville,,,236
3098,INVALID,Clubs sportifs Avignon,,,215
972,VALID,Un billet de train pour aller de Aurillac à Besançon,Aurillac,Besançon,33
3342,INVALID,Je suis né à Lannion,,,185
487,VALID,Y a-t-il un TGV en fin d'après-midi Aix-les-Bains Metz ?,Aix-les-Bains,Metz,133
385,VALID,Je cherche à aller de Fécamp à Évreux par le train,Fécamp,Évreux,116
3790,VALID,je souhaite voyager de saint-omer vers grenoble,Saint-Omer,Grenoble,5
411,VALID,Je veux le train avec le meilleur confort Valence Agen,Valence,Agen,138
1655,VALID,Train en fin d'après-midi Challans Compiègne,Challans,Compiègne,76
2191,INVALID,Services publics Évreux,,,234
2443,INVALID,Je vis à Oyonnax,,,168
2892,INVALID,Mon mai vit à Le Puy-en-Velay et moi à Nîmes,,,154
2166,INVALID,Le maire de Ancenis,,,24
3673,INVALID,Zonnes industrielles Toulon,,,231
3399,INVALID,Centres de loisirs Pau,,,262
1558,VALID,Je dois être à Aurillac avant midi en partant de Louviers,Louviers,Aurillac,88
1579,VALID,Je veux un train confortable de Aurillac à Alençon,Aurillac,Alençon,69
3938,INVALID,Langue parlee a Digne-les-Bains,,,175
3733,VALID,je dois etre a bastia avant midi en partant de dijon,Dijon,Bastia,88
2083,INVALID,Centres de loisirs Albertville,,,262
445,VALID,Je veux le train le plus rapide de Châteauroux à Albert,Châteauroux,Albert,79
2124,INVALID,Cinéma à Périgueux,,,216
1715,VALID,Je veux arriver à Toulouse depuis Florence,Florence,Toulouse,63
1705,VALID,Train de fin de matinée Saint-Nazaire Sens,Saint-Nazaire,Sens,131
174,VALID,je cherche un train pour la semaine prochaine de évreux à elbeuf,Évreux,Elbeuf,106
2366,INVALID,Monument célèbre à Morlaix,,,188
3711,INVALID,quelle est la population de bethune ?,,,155
1924,INVALID,marchés hebdomadaires laval,,,238
4099,INVALID,Statistiques emploi Bordeaux,,,225
2061,INVALID,Centres médicaux Montargis,,,242
265,VALID,y a-t-il un train toutes les deux heures de montauban à saint-denis ?,Montauban,Saint-Denis,145
2778,INVALID,Espaces verts Florence,,,239
2042,INVALID,monuments historiques sens,,,214
760,VALID,Je souhaite prendre le train de Yvetot pour Mâcon,Yvetot,Mâcon,32
679,VALID,Premier train Évreux Bourg-en-Bresse,Évreux,Bourg-en-Bresse,41
2257,INVALID,Code postal Niort,,,176
1229,VALID,Je veux le train le plus rapide de Rodez à Concarneau,Rodez,Concarneau,79
2090,INVALID,Guide étudiant Saint-Denis,,,201
1423,VALID,Y a-t-il un TER Argenteuil Le Havre ?,Argenteuil,Le Havre,68
2378,INVALID,Espaces verts Briançon,,,239
2503,INVALID,Musée à visiter à Saint-Quentin,,,172
936,VALID,Train avec le moins de correspondances Auch Cambrai,Auch,Cambrai,55
187,VALID,train rapide de lens à brest,Lens,Brest,46
3469,INVALID,Cartographie Moulins,,,237
3715,VALID,train de fin de journee bolbec vers ajaccio,Bolbec,Ajaccio,147
1098,VALID,Y a-t-il un Intercités Montauban Modane ?,Montauban,Modane,57
951,VALID,Prochain train pour Biarritz depuis Louviers,Louviers,Biarritz,13
1291,VALID,Y a-t-il un train rapide sans arrêt Dunkerque Annecy ?,Dunkerque,Annecy,113
569,VALID,Je veux voyager confortablement de Bolbec vers Lisieux,Bolbec,Lisieux,104
732,VALID,Je dois me déplacer en train de Vannes vers Roubaix mardi,Vannes,Roubaix,120
3986,VALID,Je veux comparer les horaires de train de Challans a La Rochelle,Challans,La Rochelle,94
899,VALID,Je souhaite voyager de Lourdes vers Auray,Lourdes,Auray,5
2534,INVALID,Langue parlée à Belfort,,,175
562,VALID,Un billet pour le train Montpellier Angoulême,Montpellier,Angoulême,51
459,VALID,Billet aller simple en train Le Mans Auray,Le Mans,Auray,70
1571,VALID,Y a-t-il un train rapide sans arrêt Pontoise Limoges ?,Pontoise,Limoges,113
3859,VALID,je dois prendre un train de romans-sur-isere a grenoble lundi,Romans-sur-Isère,Grenoble,96
538,VALID,Je pars en train de Chambéry vers Clisson,Chambéry,Clisson,71
1985,INVALID,histoire de compiègne,,,171
3595,INVALID,Associations locales Châlons-en-Champagne,,,236
1526,VALID,Quel train prendre pour aller de Argenteuil à Évreux ?,Argenteuil,Évreux,84
698,VALID,Train direct sans correspondance Blois Montbéliard,Blois,Montbéliard,82
2979,INVALID,Cinéma à Privas,,,216
3422,INVALID,Plages proches de Auch,,,181
2379,INVALID,Code postal Maubeuge,,,176
2469,INVALID,Je travaille à Toul,,,165
2411,INVALID,La distance entre Belfort et Angers,,,276
2609,INVALID,Centres sportifs Albertville,,,235
189,VALID,y a-t-il un départ tôt demain de amiens vers bourges ?,Amiens,Bourges,125
2501,INVALID,Monument célèbre à Boulogne-Billancourt,,,188
3911,VALID,Y a-t-il des trains disponibles de Douai a Brest ?,Douai,Brest,50
3606,INVALID,Photo de Châteaubriant,,,177
1379,VALID,Je cherche un train pour la semaine prochaine de Toul à Orange,Toul,Orange,106
700,VALID,Train du soir Aix-les-Bains Angoulême,Aix-les-Bains,Angoulême,66
4031,INVALID,Carte des routes Florence,,,223
1607,VALID,Y a-t-il un train tôt le matin de Bolbec vers Saint-Dizier ?,Bolbec,Saint-Dizier,62
2814,INVALID,Transports locaux Aix-en-Provence,,,273
1750,VALID,Y a-t-il un Ouigo de Avranches vers Bar-le-Duc ?,Avranches,Bar-le-Duc,109
3438,INVALID,Carte météo Bar-le-Duc,,,251
887,VALID,Je veux le prochain départ en train de Évry pour Orléans,Évry,Orléans,122
3476,INVALID,Économie de Colmar,,,199
2562,INVALID,Patrimoine culturel Vité,,,232
3542,INVALID,Calendrier événements Morlaix,,,248
110,VALID,train de aix-en-provence à maubeuge cet après-midi,Aix-en-Provence,Maubeuge,59
592,VALID,Quel est le meilleur train de Saint-Denis à Niort ?,Saint-Denis,Niort,44
1042,VALID,Je souhaite prendre un train en début d'après-midi de Boulogne-Billancourt à Pau,Boulogne-Billancourt,Pau,110
2647,INVALID,Langue parlée à Bastia,,,175
1447,VALID,Un billet pour le train Évry Le Mans,Évry,Le Mans,51
3199,INVALID,Mon ami vit à Cergy et moi à Amiens,,,19
3398,INVALID,Carte touristique de Biarritz,,,164
1677,VALID,Train avec le moins de correspondances Montélimar Hazebrouck,Montélimar,Hazebrouck,55
958,VALID,Je veux le train de Créteil à Vannes le plus tôt possible,Créteil,Vannes,100
615,VALID,Je réserve un train de Hazebrouck à Alençon,Hazebrouck,Alençon,26
2556,INVALID,Centres sportifs Épernay,,,235
1260,VALID,Mulhouse Vesoul pour demain,Mulhouse,Vesoul,6
3793,INVALID,services municipaux orange,,,259
1951,INVALID,metz ou troyes pour les vacances ?,,,23
240,VALID,train express de marseille vers briançon,Marseille,Briançon,139
1440,VALID,Train express de Brest vers Aix-les-Bains,Brest,Aix-les-Bains,139
3779,INVALID,la distance entre soissons et pontoise,,,276
2059,INVALID,Écoles à Agen,,,213
636,VALID,Quel est le prix du billet de train Roubaix Agen ?,Roubaix,Agen,105
2653,INVALID,Quelle heure est-il à Vitré ?,,,160
1316,VALID,Je veux partir de Agen et descendre à Laval,Agen,Laval,108
3504,INVALID,Hôpitaux à Avranche,,,222
2700,INVALID,Histoire de Aix-les-Bains,,,171
1031,VALID,Quel train me conseillez-vous de Nice à Évreux ?,Nice,Évreux,53
626,VALID,À quelle heure arrive le train à Loches depuis Vannes ?,Vannes,Loches,48
619,VALID,Je veux le prochain départ en train de Lisieux pour Le Havre,Lisieux,Le Havre,122
2618,INVALID,Informations locales Mulhouse,,,241
220,VALID,je dois prendre un train de auxerre à verdun lundi,Auxerre,Verdun,96
52,VALID,y a-t-il un ouigo de annecy vers vichy ?,Annecy,Vichy,109
410,VALID,Y a-t-il un TGV Vierzon Chalon-sur-Saône ?,Vierzon,Chalon-sur-Saône,34
3770,VALID,quels sont les horaires de train vannes loches ?,Vannes,Loches,8
3961,INVALID,Associations a Evry,,,207
3969,VALID,Je voudrais partir de Epernay pour aller a Avranches,Épernay,Avranches,9
3387,INVALID,Événements culturels Évreux,,,268
2690,INVALID,Centres éducatifs Elbeuf,,,270
3487,INVALID,Architecture de Manosque,,,198
902,VALID,Je veux un billet flexible Nice Biarritz,Nice,Biarritz,114
1371,VALID,Je veux un train confortable de Mulhouse à Saint-Omer,Mulhouse,Saint-Omer,69
241,VALID,je souhaite prendre le train de aix-en-provence pour louviers,Aix-en-Provence,Louviers,32
1407,VALID,Je dois me rendre à Vierzon depuis Albert en TGV,Albert,Vierzon,144
3652,INVALID,Patrimoine culturel Auray,,,232
1149,VALID,Train avec peu de monde de Créteil à Troyes,Créteil,Troyes,97
184,VALID,un billet pour le train lyon créteil,Lyon,Créteil,51
2901,INVALID,Je vis à Étampes,,,168
1600,VALID,Train régional de Montpellier à Chaumont,Montpellier,Chaumont,87
4035,VALID,Combien de temps dure le trajet en train de Thonon-les-Bains a Nimes ?,Thonon-les-Bains,Nîmes,60
2596,INVALID,Bibliothèque à Versailles,,,212
3403,INVALID,J'habite à Maubeuge,,,152
113,VALID,départ abbeville arrivée clisson,Abbeville,Clisson,15
296,VALID,Je veux prendre le train de Lannion à Brest,Lannion,Brest,28
1565,VALID,Train de milieu d'après-midi Belfort Niort,Belfort,Niort,143
1462,VALID,Je veux alller de Briançon à lisson,Briançon,Clisson,1
2060,INVALID,Économie de Pontivy,,,199
3248,INVALID,Quelle est la population de Le Havre ?,,,155
1945,INVALID,activités culturelles saint-dizier,,,247
1481,VALID,Quel train prendre pour aller de Lens à Chambéry ?,Lens,Chambéry,84
3727,INVALID,carte des routes perpignan,,,223
2553,INVALID,Quatriers historiques Nancyy,,,227
2161,INVALID,Hôpitaux à Amboise,,,222
811,VALID,Train en fin d'après-midi Roubaix Orange,Roubaix,Orange,76
794,VALID,Train de fin de journée Cherbourg vers Valence,Cherbourg,Valence,147
2752,INVALID,Je déménage à Les Sables-d'Olonne,,,195
1090,VALID,JJe cherche un train après 18h de Segré vers Amiens,Segré,Amiens,98
511,VALID,Je dois faire Dunkerque Antibes en train,Dunkerque,Antibes,102
25,VALID,je veux le prochain départ en train de les sables-d'olonne pour toulouse,Les Sables-d'Olonne,Toulouse,122
2258,INVALID,Statistiques économiques Rodez,,,272
2299,INVALID,Shopping à Saint-Dizier,,,182
3204,INVALID,Statistiques emploi Chalon-sur-Saône,,,225
2643,INVALID,Ambassade à Clisson,,,184
3471,INVALID,Zones rurales Annemasse,,,243
880,VALID,Un billet de train pour aller de Charleville-Mézières à Strasbourg,Charleville-Mézières,Strasbourg,33
2179,INVALID,Heure locale à Les Sables-d'Olonne,,,194
2549,INVALID,Théâtre à Vendôme,,,217
1601,VALID,Je veux le train de Courbevoie à Toulon le plus tôt possible,Courbevoie,Toulon,100
3680,INVALID,Office postal Tours,,,221
3252,INVALID,Population totale Nice,,,252
212,VALID,un billet beauvais lorient s'il vous plaît,Beauvais,Lorient,2
3193,INVALID,Cinéma à Vitry-le-François,,,216
146,VALID,y a-t-il deest rains disponibles de roubaix à montreuil ?,Roubaix,Montreuil,50
1955,INVALID,carte administrative saint-denis,,,218
2659,INVALID,Climat de Oyonnax,,,186
3334,INVALID,Étampes ou Digne-les-Bains pour les vacances ?,,,23
2751,INVALID,Bonjour,,,21
1653,VALID,Je cherche à aller de Tours à Clermont-Ferrand par le train,Tours,Clermont-Ferrand,116
12,VALID,je dois me rendre à nantes depuis louviers en tgv,Louviers,Nantes,144
1283,VALID,Train en fin d'après-midi Chaumont Digne-les-Bains,Chaumont,Digne-les-Bains,76
75,VALID,prochain départ de pontoise pour les sables-d'olonne,Pontoise,Les Sables-d'Olonne,27
15,VALID,billet aller simple en train brest montargis,Brest,Montargis,70
1643,VALID,Je veux le train le plus rapide de Carcassonne à Pontivy,Carcassonne,Pontivy,79
1909,INVALID,carte historique versailles,,,210
3827,VALID,je prends le train de dijon a dole,Dijon,Dole,61
1199,VALID,Je cherche un train jeudi de Manosque à Étampes,Manosque,Étampes,140
1115,VALID,Un billet Lannion Brest s'il vous plaît,Lannion,Brest,2
216,VALID,départ colmar arrivée troyes,Colmar,Troyes,15
1101,VALID,Comment rejoindre Yvetot depuis Boulogne-sur-Mer en train ?,Boulogne-sur-Mer,Yvetot,38
2886,INVALID,Je suis né à Saint-Nazaire,,,185
3186,INVALID,Population active Fougères,,,220
299,VALID,Je pars en train de Montargis vers Melun,Montargis,Melun,71
2493,INVALID,Zones touristiques Modane,,,249
3330,INVALID,Plan de ville Marseille,,,206
1730,VALID,Je  réserve n train de Amboise à La Rochelle,Amboise,La Rochelle,26
3269,INVALID,Musée à visiter à Arles,,,172
944,VALID,Je veux partir de Béthune et descendre à Saint-Étienne,Béthune,Saint-Étienne,108
1384,VALID,Y a-t-il un train avant 8h de Cannes à Tourcoing ?,Cannes,Tourcoing,103
1679,VALID,Train avec peu de correspondances de Nice vers Troyes,Nice,Troyes,127
2991,INVALID,Musée à vsiter à Sossos,,,172
1093,VALID,Je dios  perndre le trai de Vendôme pour Chartres,Vendôme,Chartres,45
2117,INVALID,Bonjour,,,21
4085,INVALID,Carte detaillee Poitiers,,,265
3502,INVALID,Transports locaux Rodez,,,273
3288,INVALID,Quel temps fait-il à Clisson ?,,,16
3615,INVALID,Bonjour,,,156
3629,INVALID,Quel temps fait-il à Moulins ?,,,151
1809,INVALID,festival à biarritz,,,189
3867,INVALID,carte meteo abbeville,,,191
2818,INVALID,Carte détaillée Vierzon,,,265
3880,VALID,je veux aller de concarneau a amboise,Concarneau,Amboise,1
2687,INVALID,Dunkerque ou Lannion pour les vacances ?,,,157
3401,INVALID,Architecture de Thonon-les-Bains,,,198
2445,INVALID,Langue parlée à Le Puy-en-Velay,,,175
259,VALID,je veux acheter mon billet pour le train clermont-ferrand saint-quentin,Clermont-Ferrand,Saint-Quentin,118
1866,INVALID,marchés hebdomadaires aix-les-bains,,,238
907,VALID,Train régional de Rodez à Créteil,Rodez,Créteil,87
1587,VALID,Y a-t-il un Intercités Caen Auch ?,Caen,Auch,57
1272,VALID,Je veux le train de Dijno à lCiisson le lus tôt posisble,Dijon,Clisson,100
2377,INVALID,Statistiques économiques Oyonnax,,,272
2617,INVALID,Carte géérale Loches,,,257
3751,INVALID,cinema a privas,,,216
2032,INVALID,événements culturels châteaubriant,,,268
78,VALID,dernier train de maubeuge vers montargis,Maubeuge,Montargis,42
1159,VALID,Je dois faire Clermont-Ferrand Saint-Denis en train,Clermont-Ferrand,Saint-Denis,102
3421,INVALID,ervices publics oBrdaux,,,234
4048,VALID,Je veux  le  trian le plus rraide de Nice a Bastia,Nice,Bastia,79
2626,INVALID,J'habite à Vienne,,,17
1731,VALID,Y a-t-il des trains disponibles de Bourgoin-Jallieu à Paris ?,Bourgoin-Jallieu,Paris,50
3365,INVALID,Théâtre à Thonon-les-Bains,,,217
3739,INVALID,restaurant a bourg-en-bresse,,,25
156,VALID,je veux voyager confortablement de bourg-en-bresse vers bar-le-duc,Bourg-en-Bresse,Bar-le-Duc,104
2279,INVALID,Théâtre à Cambrai,,,217
3106,INVALID,Calendrier événements Tours,,,248
1665,VALID,Je veux arriverà Hazebrouck depuis Toulouse,Toulouse,Hazebrouck,63
3536,INVALID,J'habite à Le Puy-en-Velay,,,17
2780,INVALID,Patrimoine culturel Orléans,,,232
13,VALID,départ albert arrivée manosque,Albert,Manosque,15
4089,INVALID,Hotel disponible a Amboise,,,163
290,VALID,Train de Concarneau à Elbeuf cet après-midi,Concarneau,Elbeuf,59
1107,VALID,Je veux voyager en train de Vannes à Tarbes,Vannes,Tarbes,43
4068,VALID,Train quotidien Saint-Malo Bourges,Saint-Malo,Bourges,107
2820,INVALID,Université à Moulins,,,179
3099,INVALID,Évnements culturels Langres,,,268
1007,VALID,Je cherche à aller de Laon à Nîmes par le train,Laon,Nîmes,116
2149,INVALID,Guide téudiant Vendôme,,,201
2266,INVALID,Transports locaux Montreuil,,,273
1142,VALID,Dernier train de Tarbes vers Digne-les-Bains,Tarbes,Digne-les-Bains,42
1497,VALID,Y a-t-il un train vers midi de Niort à Annemasse ?,Niort,Annemasse,137
218,VALID,y a-t-il un tgv direct concarneau moulins ?,Concarneau,Moulins,93
3395,INVALID,Je suis né à Étampes,,,185
762,VALID,Je cherche un train pour la semaie prochaine de VVichy  àNiorrt,Vichy,Niort,106
3270,INVALID,La distance entre Dunkerque et Villeurbanne,,,276
734,VALID,Je veux arriver à Ancenis depuis Lannion,Lannion,Ancenis,63
1227,VALID,Y a-t-il un TGV en fin d'après-midi Annecy Marseille ?,Annecy,Marseille,133
3135,INVALID,Je déménage à Segré,,,195
1474,VALID,Je veux le train de Fougères à Briançon le plus tôt possible,Fougères,Briançon,100
1324,VALID,Y a-t-il un Ouigo de Courbevoie vers Hazebrouck ?,Courbevoie,Hazebrouck,109
2923,INVALID,Théâtre à Montargis,,,217
3489,INVALID,Le maire de Nanterre,,,158
2737,INVALID,Heure local eà Abbvelle,,,194
1305,VALID,Y a-t-il un train vers midi de Mende à Nice ?,Mende,Nice,137
3198,INVALID,J'habite à Bar-le-Duc,,,152
4020,INVALID,Services de sante Provins,,,271
1946,INVALID,monuments historiques roubaix,,,214
419,VALID,Y a-t-il un train rapide sans arrêt Oyonnax Aurillac ?,Oyonnax,Aurillac,113
1441,VALID,Combien de temps dure le trajet en train de Caen à Laval ?,Caen,Laval,60
1175,VALID,Train de fin de matinée Aix-les-Bains Ajaccio,Aix-les-Bains,Ajaccio,131
2287,INVALID,Patrimoine culturel Alençon,,,232
2761,INVALID,Activités nocturnes Saint-Dizier,,,255
1,VALID,je dois me déplacer en train de fontenay-le-comte vers melun mardi,Fontenay-le-Comte,Melun,120
2448,INVALID,Population étudiante Béthune,,,193
2198,INVALID,Informations pratiques Privas,,,256
3039,INVALID,Météo actuelle à Niort,,,167
