sentence_id,label,sentence,town1,town2,template_id
3877,INVALID,Vannes est une belle ville,Vannes,Valence,18
1124,VALID,Je cherche un train Aix-en-Provence Abbeville,Aix-en-Provence,Abbeville,14
2954,INVALID,La distance entre Besançon et Reims,Besançon,Reims,20
3319,INVALID,Quelle est la population de Mâcon ?,Mâcon,Saumur,22
3729,VALID,Quels sont les horaires de train Pontarlier Cholet ?,Pontarlier,Cholet,8
2471,INVALID,Clisson est une belle ville,Clisson,Oyonnax,18
217,VALID,prochain train pour dinan depuis alençon,Alençon,Dinan,13
3497,VALID,je souhaite voyager de annecy vers angouleme,Annecy,Angoulême,5
3745,VALID,Luneville Lille pour demain,Lunéville,Lille,6
2862,INVALID,La distance entre Saint-Denis et Berck,Saint-Denis,Berck,20
2306,INVALID,Digne-les-Bains ou Toulouse pour les vacances ?,Digne-les-Bains,Toulouse,23
3469,INVALID,j'habite a vernon,Vernon,Chinon,17
2103,INVALID,fontainebleau ou créteil pour les vacances ?,Fontainebleau,Créteil,23
2416,INVALID,Bonjour,Pontivy,Bordeaux,21
1727,VALID,Je pars de Orange direction Orléans,Orange,Orléans,12
690,VALID,Je souhaite vyager de iBarritz vers Auch,Biarritz,Auch,5
795,VALID,Prochain train pour Annemasse depuis Auxerre,Auxerre,Annemasse,13
1054,VALID,Albi Vannes pour demain,Albi,Vannes,6
2302,INVALID,Restaurant à Bourges ,Bourges,Clisson,25
1517,VALID,Quels sont les horaires de train Strasbourg Rouen ?,Strasbourg,Rouen,8
3702,INVALID,J'habite a Marseille,Marseille,Brest,17
3887,INVALID,Saumur est une belle ville,Saumur,Roubaix,18
869,VALID,Je voudrais partir de Orange pour aller à Bourgoin-Jallieu,Orange,Bourgoin-Jallieu,9
2132,INVALID,Quelle est la population de Calais ?,Calais,Évreux,22
3,VALID,annecy châteaubriant pour demain,Annecy,Châteaubriant,6
432,VALID,Un billet Vienne Moulins s'il vous plaît,Vienne,Moulins,2
738,VALID,Je dois me rendre de Épernay à Bourg-en-Bresse,Épernay,Bourg-en-Bresse,7
2858,INVALID,Mon ami vt à Montélimar e moi à Langre,Montélimar,Langres,19
1480,VALID,Y at--il des trains vers Châtaeubriant au départ de Saint-Éttienne ?,Saint-Étienne,Châteaubriant,4
2780,INVALID,Quelle est la population de Aix-les-Bains ?,Aix-les-Bains,Lille,22
2825,INVALID,Bonjour,Bourg-en-Bresse,Briançon,21
187,VALID,je souhaite voyager de besançon vers évreux,Besançon,Évreux,5
1633,VALID,Montbéliard Épernay pour demain,Montbéliard,Épernay,6
2281,INVALID,Mon ami vit à Sens et moi à Bourgoin-Jallieu,Sens,Bourgoin-Jallieu,19
1381,VALID,Un aller simple Thonon-les-Bains Mulhouse,Thonon-les-Bains,Mulhouse,10
364,VALID,Je cherche un train Tourcoing Bourgoin-Jallieu,Tourcoing,Bourgoin-Jallieu,14
1338,VALID,Comment me rendre à Lille depuis Laon ?,Laon,Lille,3
1048,VALID,Quels sont les horaires de train Florence Niort ?,Florence,Niort,8
2003,INVALID,mon ami vit à pontivy et moi à montivilliers,Pontivy,Montivilliers,19
3715,INVALID,Restaurant a Alencon,Alençon,Loches,25
2863,INVALID,Poitiers ou Sens pour les vacances ?,Poitiers,Sens,23
646,VALID,Je pars de Aubenas direction Marseille,Aubenas,Marseille,12
2219,INVALID,Restaurant à Carcassonne,Carcassonne,Poitiers,25
3314,INVALID,La distance entre Vesoul et Fougères,Vesoul,Fougères,20
3886,INVALID,Quel temps fait-il a Le Havre ?,Le Havre,Elbeuf,16
1380,VALID,Y a-t-il des trains vers Laval au départ de Orléans ?,Orléans,Laval,4
2708,INVALID,Le maire de Grenoble,Grenoble,Saumur,24
624,VALID,Quels sont les horaires de train Romans-sur-Isère Loches ?,Romans-sur-Isère,Loches,8
1625,VALID,Je voudrais partir de Digne-les-Bains pour aller à Niort,Digne-les-Bains,Niort,9
2448,INVALID,Caen ou Bordeaux pour les vacances ?,Caen,Bordeaux,23
2799,INVALID,Mon ami vit à Chalon-sur-Saône et moi à Pontoise,Chalon-sur-Saône,Pontoise,19
3216,INVALID,Cannes est une belle ville,Cannes,Strasbourg,18
1811,VALID,Je prs de Albertville direction Quimper,Albertville,Quimper,12
1007,VALID,Un billet Lourdes Villeurbanne s'il vous plaît,Lourdes,Villeurbanne,2
1064,VALID,Quels sont les horaires de train Bordeaux Vernon ?,Bordeaux,Vernon,8
928,VALID,Quels sont les horaires de train Chartres Perpignan ?,Chartres,Perpignan,8
1553,VALID,Prochain train pour Port-Boulet depuis Chaumont,Chaumont,Port-Boulet,13
3870,VALID,Y a-t-il des trains vers Vesoul au depart de Biarritz ?,Biarritz,Vesoul,4
2745,INVALID,Le maire de Fontenay-le-Comte,Fontenay-le-Comte,Avranches,24
2813,INVALID,Quimper est une belle ville,Quimper,Vendôme,18
1761,VALID,Un billet Albert Maubeuge s'il vous plaît,Albert,Maubeuge,2
312,VALID,Je cherche un trai Châteaubriant Concarneau,Châteaubriant,Concarneau,14
3784,VALID,Quels sont les horaires de train Angouleme Vitre ?,Angoulême,Vitré,8
3689,INVALID,La distance entre Villeurbanne et Sens,Villeurbanne,Sens,20
1813,VALID,Trajet de Montpellier vers Troyes,Montpellier,Troyes,11
3048,INVALID,Le maire de Romans-sur-Isère,Romans-sur-Isère,Châteaubriant,24
455,VALID,Je pars de Concarneau direction Pontivy,Concarneau,Pontivy,12
1347,VALID,Je dois me rendre de Nice à Fécamp,Nice,Fécamp,7
1503,VALID,Je veux aller de Angers à Rodez,Angers,Rodez,1
2588,INVALID,Mon ami vit à Nantes et moi à Metz,Nantes,Metz,19
3310,INVALID,Quelle est la population de Mende ?,Mende,Agen,22
2973,INVALID,Quelle est la population de Aix-les-Bains ?,Aix-les-Bains,Vernon,22
784,VALID,Comment me rendre à Chartres depuis Bordeaux ?,Bordeaux,Chartres,3
1590,VALID,Comment me rendre à Lannion depuis Vannes ?,Vannes,Lannion,3
1802,VALID,Comment me rendre à Châlons-en-Champagne depuis Saint-Omer ?,Saint-Omer,Châlons-en-Champagne,3
3227,INVALID,La distance entre Florence et Segré,Florence,Segré,20
2316,INVALID,La distance entre Douai et Albi,Douai,Albi,20
2733,INVALID,Elbeuf ou Dunkerque pour les vacances ?,Elbeuf,Dunkerque,23
1522,VALID,Elbeuf Chalon-sur-Saône pour demain,Elbeuf,Chalon-sur-Saône,6
383,VALID,Un aller simple Amiens Bordeaux,Amiens,Bordeaux,10
3676,INVALID,Quelle est la population de Rodez ?,Rodez,Pau,22
172,VALID,prochain train pour mâcon depuis caen,Caen,Mâcon,13
2796,INVALID,Carcassonne est une belle ville,Carcassonne,Saint-Étienne,18
823,VALID,Je pars de Montpellier direction Aubenas,Montpellier,Aubenas,12
554,VALID,Un billet Modane Bourgoin-Jallieu s'il vous plaît,Modane,Bourgoin-Jallieu,2
711,VALID,Je dois me rendre de Arras à Metz,Arras,Metz,7
1663,VALID,Je souhaite voyager de Colmar vers Toul,Colmar,Toul,5
3303,INVALID,Bonjour,Thonon-les-Bains,Bourgoin-Jallieu,21
762,VALID,Lisieux Troyes pour demain,Lisieux,Troyes,6
1345,VALID,Pontoise Antibes pour ddemain,Pontoise,Antibes,6
2756,INVALID,Le maire de Pontoise,Pontoise,Douai,24
1504,VALID,Y a-t-il des traains vers Le Mans au dpéaart de Biarritz ?,Biarritz,Le Mans,4
308,VALID,Comment me rendre à Bastia depuis Argenteuil ?,Argenteuil,Bastia,3
702,VALID,Lens Biarritz pour demain,Lens,Biarritz,6
1166,VALID,Périgueux Grenoble pour demain,Périgueux,Grenoble,6
2623,INVALID,La distance entre Biarritz et Boulogne-sur-Mer,Biarritz,Boulogne-sur-Mer,20
3487,VALID,dole gpa pour demain,Dole,Gap,6
342,VALID,Je veux aller de Douai à Le Puy-en-Velay,Douai,Le Puy-en-Velay,1
2072,INVALID,mon ami vit à bastia et moi à concarneau,Bastia,Concarneau,19
739,VALID,Trajet de Dieppe vers Charleville-Mézières,Dieppe,Charleville-Mézières,11
2534,INVALID,J'habite à Hazebrouck,Hazebrouck,Nancy,17
740,VALID,Je voudrais partir de La Rochelle pour aller à Lisieux,La Rochelle,Lisieux,9
3377,INVALID,La distance entre Bolbec et Pontoise,Bolbec,Pontoise,20
631,VALID,Trajet de Auray vers Mulhouse,Auray,Mulhouse,11
1060,VALID,Je souhaite voyager de Biarritz vers Colmar,Biarritz,Colmar,5
3103,INVALID,Restaurant à Antibes,Antibes,Concarneau,25
3474,INVALID,mon ami vit a arles et moi a manosque,Arles,Manosque,19
2932,INVALID,Restaurant à Marseille,Marseille,Caen,25
3836,VALID,Quels sont les horaires de train Abbeville Montpellier ?,Abbeville,Montpellier,8
1531,VALID,Quels sont les horaires de train Cambrai Limoges ?,Cambrai,Limoges,8
1769,VALID,Toul Clermont-Ferrand pour demain,Toul,Clermont-Ferrand,6
3652,INVALID,Mon ami vit a Vernon et moi a Limoges,Vernon,Limoges,19
1723,VALID,Comment me rendre à Segré depuis Angers ?,Angers,Segré,3
1221,VALID,Je dois me rendre de Privas àChalon-sur-Sanôe,Privas,Chalon-sur-Saône,7
3161,INVALID,Mon ami vit à Dijon et moi à Amiens,Dijon,Amiens,19
18,VALID,prochain train pour vitry-le-françois depuis saumur,Saumur,Vitry-le-François,13
2186,INVALID,J'habite à Dunkerque,Dunkerque,Calais,17
1045,VALID,Je voudrais partir de Courbevoie pour aller à Cambrai,Courbevoie,Cambrai,9
1987,INVALID,la distance entre antibes et colmar,Antibes,Colmar,20
1978,INVALID,laval est une belle ville,Laval,Amboise,18
2969,INVALID,Mon ami vit à Vesoul et moi à Dunkerque,Vesoul,Dunkerque,19
2995,INVALID,Bonjour,Nancy,Louviers,21
344,VALID,Je cherche un train Bastia Brest,Bastia,Brest,14
314,VALID,Un aller simple Niort Grenoble,Niort,Grenoble,10
783,VALID,Un billetMâcon Dijon s'il vous plaît,Mâcon,Dijon,2
343,VALID,Quels sont les horaires de train Les Sables-d'Olonne Villeurbanne ?,Les Sables-d'Olonne,Villeurbanne,8
28,VALID,je souhaite voyager de moulins vers loches,Moulins,Loches,5
418,VALID,Je veux aller de Cholet à Concarneau,Cholet,Concarneau,1
2381,INVALID,Restaurant  Nîmes,Nîmes,Vienne,25
3528,INVALID,j'habite a concarneau,Concarneau,Aix-les-Bains,17
1953,INVALID,privas est une belle ville,Privas,Amiens,18
409,VALID,Un billet Béziers Bourges s'il vous plaît,Béziers,Bourges,2
2395,INVALID,Bonjour,Metz,La Rochelle,21
1076,VALID,Je veux aller de Blois à Loches,Blois,Loches,1
335,VALID,Je dois me rendre de Étampes à Nanterre,Étampes,Nanterre,7
596,VALID,Prochain train pour Valence depuis Boulogne-sur-Mer,Boulogne-sur-Mer,Valence,13
2049,INVALID,segré est une belle ville,Segré,Le Havre,18
614,VALID,Je cherche un train Loches Saint-Dizier,Loches,Saint-Dizier,14
3646,INVALID,restaurant a tours,Tours,Boulogne-Billancourt,25
2894,INVALID,Restaurant à Alençon,Alençon,Lisieux,25
1492,VALID,Un billet Montpellier Abbeville s'il vous plaît,Montpellier,Abbeville,2
2989,INVALID,Bonjour,Romans-sur-Isère,Oyonnax,21
2855,INVALID,Bonjour,Montreuil,Melun,21
2216,INVALID,La distance entre Beauvais et Niort,Beauvais,Niort,20
3059,INVALID,Berck est une belle ville,Berck,Clermont-Ferrand,18
3305,INVALID,Restaurant à Besançon,Besançon,Montbéliard,25
2586,INVALID,Gap ou Sens pour les vacances ?,Gap,Sens,23
282,VALID,je voudrais partir de aix-en-provence pour aller à nantes,Aix-en-Provence,Nantes,9
681,VALID,Prochain train pour Cambrai depuis Vesoul,Vesoul,Cambrai,13
3251,INVALID,Bonjour,Vernon,Annecy,21
3458,VALID,quels sont les horaires de train grenoble angers ?,Grenoble,Angers,8
3450,VALID,beauvais rouen pour demain,Beauvais,Rouen,6
2873,INVALID,La distance entre Montreuil et Chinon,Montreuil,Chinon,20
469,VALID,Je voudrais partir de Avranches pour aller à Lons-le-Saunier,Avranches,Lons-le-Saunier,9
645,VALID,Trajet de Bayonne vers Rouen,Bayonne,Rouen,11
2675,INVALID,Évreux ou Lons-le-Saunier pour les vacances ?,Évreux,Lons-le-Saunier,23
1699,VALID,Je dois me rendre de Port-Boulet à Ancenis,Port-Boulet,Ancenis,7
734,VALID,Comment me rendre à Montauban depuis Châlons-en-Champagne ?,Châlons-en-Champagne,Montauban,3
1918,INVALID,restaurant à bourgoin-jallieu,Bourgoin-Jallieu,Beauvais,25
763,VALID,Prochain train pour Manosque depuis Lourdes,Lourdes,Manosque,13
882,VALID,Je voudrais partir de Cergy pour aller à Évreux,Cergy,Évreux,9
3477,VALID,quels sont les horaires de train le mans epinal ?,Le Mans,Épinal,8
495,VALID,Je souhaite voyager de Morlaix vers Saumur,Morlaix,Saumur,5
2549,INVALID,Bonjour,Chalon-sur-Saône,Bolbec,21
116,VALID,lille montreuil pour demain,Lille,Montreuil,6
2045,INVALID,le maire de ajaccio,Ajaccio,Albertville,24
3471,VALID,trajet de saumur vers perpignan,Saumur,Perpignan,11
2934,INVALID,Dijon est une belle ville,Dijon,Chartres,18
3364,INVALID,J'habite à Angoulême,Angoulême,Amboise,17
1134,VALID,Je pars de Nancy direction Oyonnax,Nancy,Oyonnax,12
1240,VALID,Je voudrais partir de Fécamp pour aller à Aurillac,Fécamp,Aurillac,9
3483,INVALID,j'habite a saint-brieuc,Saint-Brieuc,Lille,17
1341,VALID,Un billet Argenteuil Châteauroux s'il vous plaît,Argenteuil,Châteauroux,2
1470,VALID,Départ Verdun arrivée Besançon,Verdun,Besançon,15
2562,INVALID,Quelle est la population de Segré ?,Segré,Florence,22
1286,VALID,Y a-t-il des trains vers Laval au départ de Les Sables-d'Olonne ?,Les Sables-d'Olonne,Laval,4
2537,INVALID,Bonjour,Lens,Biarritz,21
2474,INVALID,J'habite à Boulogne-Billancourt,Boulogne-Billancourt,Brest,17
1465,VALID,Je dois me rendre de Biarritz à Yvetot,Biarritz,Yvetot,7
3441,VALID,quels sont les horaires de train cholet carcassonne ?,Cholet,Carcassonne,8
2838,INVALID,Moulins est une belle ville,Moulins,Étampes,18
845,VALID,Un billet Carcassonne Bourges s'il vous plaît,Carcassonne,Bourges,2
1714,VALID,Je veux aller de uArillac à miens,Aurillac,Amiens,1
379,VALID,Prochain train pour Caen depuis Le Mans,Le Mans,Caen,13
3443,VALID,je pars de courbevoie direction beziers,Courbevoie,Béziers,12
1041,VALID,Je pars de Dijon direction Bolbec,Dijon,Bolbec,12
1107,VALID,Départ Évreux arrivée Rouen,Évreux,Rouen,15
1945,INVALID,j'habite à manosque,Manosque,Yvetot,17
2750,INVALID,Quel temps fait-il à Langres ?,Langres,Bourg-en-Bresse,16
2119,INVALID, Quel temps fait-il à oTulouse ?,Toulouse,Chaumont,16
1157,VALID,Prochain train pour Annecy depuis Saint-Nazaire,Saint-Nazaire,Annecy,13
933,VALID,Auch Cambrai pour demain,Auch,Cambrai,6
789,VALID,Comment me rendre à Tours depuis Nantes ?,Nantes,Tours,3
2409,INVALID,Caen est une belle ville,Caen,Auray,18
838,VALID,Quels sont les horaires de train Elbeuf Meaux ?,Elbeuf,Meaux,8
2121,INVALID,Quelle est la population de Vichy ?,Vichy,Ancenis,22
611,VALID,Je souhaite voyager de Le Havre vers Albertville,Le Havre,Albertville,5
1410,VALID,Un billet Pontoise La Rochelle s'il vous plaît,Pontoise,La Rochelle,2
1378,VALID,Je voudrais partir de Lunéville pour aller à Arras,Lunéville,Arras,9
3442,VALID,prochain train pour aray depuis  bourgoin-jallieu,Bourgoin-Jallieu,Auray,13
3372,INVALID,Bonjour,Fontenay-le-Comte,Grenoble,21
3125,INVALID,Bonjour,Toulouse,Saint-Omer,21
3727,VALID,Quels sont les horaires de train Dinan Montargis ?,Dinan,Montargis,8
659,VALID,Un billet Niort Vierzon s'il vous plaît,Niort,Vierzon,2
1302,VALID,Je pars de Florence direction Ancenis,Florence,Ancenis,12
1992,INVALID,restaurant à blois,Blois,Vitré,25
1204,VALID,Quels sont les horaires de train Cholet Pontivy ?,Cholet,Pontivy,8
2387,INVALID,Quel temps fait-il à Lorient ?,Lorient,Béthune,16
1441,VALID,Un aller simple Sens Agen,Sens,Agen,10
377,VALID,Je dois me rendre de Turs à Montpellier,Tours,Montpellier,7
3282,INVALID,Restaurant à Lille,Lille,Charleville-Mézières,25
968,VALID,Melun Grenoble pour demain,Melun,Grenoble,6
180,VALID,je souhaite voyager de grenoble vers saint-dizier,Grenoble,Saint-Dizier,5
3009,INVALID,Le maire de Modane,Modane,Sens,24
1862,VALID,Prochain train pour Concarneau depuis Lons-le-Saunier,Lons-le-Saunier,Concarneau,13
963,VALID,Je veux aller de Angers à Limoges,Angers,Limoges,1
2613,INVALID,Restaurant à Dole,Dole,Nîmes,25
95,VALID,je souhaite voyager de laon vers rouen,Laon,Rouen,5
2399,INVALID,Quel temps fait-il à Pau ?,Pau,Agen,16
1788,VALID,Je voudrais partir de Villeurbanne pour aller à Évreux,Villeurbanne,Évreux,9
1616,VALID,Comment me rendre à Saint-Nazaire depuis Ancenis ?,Ancenis,Saint-Nazaire,3
3706,INVALID,Le maire de Vitry-le-Francois,Vitry-le-François,Montbéliard,24
2811,INVALID,Quelle est la population de Louviers ?,Louviers,Oyonnax,22
1619,VALID,Quels sont les horaires de train Dole Montivilliers ?,Dole,Montivilliers,8
3262,INVALID,Le maire de Besançon,Besançon,Toul,24
3524,VALID,je veux aller de grenoble a le puy-en-velay,Grenoble,Le Puy-en-Velay,1
2174,INVALID,Bonjour,Dijon,Nanterre,21
2057,INVALID,restaurant à ersailles,Versailles,Aix-en-Provence,25
2391,INVALID,J'habite à Avranches,Avranches,Soissons,17
197,VALID,comment me rendre à perpignan depuis aurillac ?,Aurillac,Perpignan,3
424,VALID,Un billet Le Puy-en-Velay Manosque s'il vous plaît,Le Puy-en-Velay,Manosque,2
233,VALID,départ saint-dizier arrivée caen,Saint-Dizier,Caen,15
1357,VALID,Je veux aller de Abbeville à Annecy,Abbeville,Annecy,1
1954,INVALID,quel temps fait-il à fontenay-le-comte ?,Fontenay-le-Comte,Lille,16
3279,INVALID,Chaumont ou Cambrai pour les vacances ?,Chaumont,Cambrai,23
445,VALID,Je souhaite voyager de Toul vers Sens,Toul,Sens,5
617,VALID,Je voudrais partir de Annemasse pour aller à Besançon,Annemasse,Besançon,9
2158,INVALID,Le maire de Pontoise,Pontoise,Albert,24
3795,VALID,Je veux aller de Evreux a Lorient,Évreux,Lorient,1
3347,INVALID,Agen ou Provins pour les vacances ?,Agen,Provins,23
2646,INVALID,Mon ami vit à Nantes et moi à Dinan,Nantes,Dinan,19
1662,VALID,Quels sont les horaires de train Sens Bayonne ?,Sens,Bayonne,8
262,VALID,je voudrais partir de montreuil pour aller à bourgoin-jallieu,Montreuil,Bourgoin-Jallieu,9
3596,VALID, je dois me rendre d ereims a auxerre ,Reims,Auxerre,7
1832,VALID,Je souhaite voyager de Bourges vers Antibes,Bourges,Antibes,5
2742,INVALID,Bonjour,Chaumont,Laval,21
485,VALID,Melun Roubaix pour demain,Melun,Roubaix,6
2044,INVALID,restaurant à argenteuil,Argenteuil,Annecy,25
3819,VALID,Je dois me rendre de Langres a Lyon,Langres,Lyon,7
497,VALID,Un aller simple Oyonnax Montauban,Oyonnax,Montauban,10
3424,VALID,je veux aller de hazebrouck a louviers,Hazebrouck,Louviers,1
3873,VALID,Je cherche un train Montelimar Creteil,Montélimar,Créteil,14
1005,VALID,Aix-les-Bains Louviers pour demain,Aix-les-Bains,Louviers,6
758,VALID,Départ Cergy arrivée Épernay,Cergy,Épernay,15
2505,INVALID,Quel temps fait-il à Abbeville ?,Abbeville,Lons-le-Saunier,16
7,VALID,un billet aix-les-bains rennes s'il vous plaît,Aix-les-Bains,Rennes,2
1332,VALID,Comment me rendre à Le Havre depuis Mulhouse ?,Mulhouse,Le Havre,3
2138,INVALID,Bonjour,Dunkerque,Bastia,21
2525,INVALID,Bonjour,Fontenay-le-Comte,Valence,21
1126,VALID,Y a-t-il des trains vers Provins au départ de Dunkerque ?,Dunkerque,Provins,4
2802,INVALID,La ditance entre Valence et Blois,Valence,Blois,20
2084,INVALID,maubeuge est une belle ville,Maubeuge,Nîmes,18
1690,VALID,Je voudrais partir de Berck pour aller à Épernay,Berck,Épernay,9
2612,INVALID,Bonjour,Lourdes,Cambrai,21
3496,INVALID, la distance entre anntibe set charleville-mezieres,Antibes,Charleville-Mézières,20
1346,VALID,Je pars de Antibes direction Briançon,Antibes,Briançon,12
2226,INVALID,Mon ami vit à Granville et moi à Segré,Granville,Segré,19
1175,VALID,Prochain train pour Cholet depuis Étampes,Étampes,Cholet,13
2489,INVALID,Briançon ou Concarneau pour les vacances ?,Briançon,Concarneau,23
3157,INVALID,Saint-Étienne ou Reims pour les vacances ?,Saint-Étienne,Reims,23
972,VALID,Prochain train pour Dijon depuis Digne-les-Bains,Digne-les-Bains,Dijon,13
2852,INVALID,Mâcon ou La Rochelle pour les vacances ?,Mâcon,La Rochelle,23
447,VALID,Je cherche un train Pontivy Yvetot,Pontivy,Yvetot,14
2641,INVALID,Le maire de Orléans,Orléans,Challans,24
559,VALID,Y a-t-il des trains vers Pau au départ de Albert ?,Albert,Pau,4
1755,VALID,Un billet Avranches Villeurbanne s'il vous plaît,Avranches,Villeurbanne,2
136,VALID,y a-t-il des trains vers manosque au départ de privas ?,Privas,Manosque,4
3648,VALID,Prochain train pour Evreux depuis Soissons,Soissons,Évreux,13
310,VALID,Je cherrche un train Arras Hazebrouck,Arras,Hazebrouck,14
2112,INVALID,mon ami vit à lille et moi à strasbourg,Lille,Strasbourg,19
3430,INVALID,la distance entre evreux et rennes,Évreux,Rennes,20
2644,INVALID,Quel temps fait-il à Évreux ?,Évreux,Berck,16
2912,INVALID,Mon ami vit à Saint-Étienne et moi à Vesoul,Saint-Étienne,Vesoul,19
1013,VALID,Je pars de Vitré direction Boulogne-Billancourt,Vitré,Boulogne-Billancourt,12
3893,VALID,Je dois me rendre de Valenciennes a Verdun,Valenciennes,Verdun,7
3076,INVALID,La ddistance entreAbbeville et Chalon-sur-Saône,Abbeville,Chalon-sur-Saône,20
2218,INVALID,Bonjour,Quimper,Orange,21
2284,INVALID,Beauvais est une belle ville,Beauvais,Courbevoie,18
2643,INVALID,Restaurant à Mulhouse,Mulhouse,Fougères,25
2315,INVALID,Le amire de e Mans,Le Mans,Auray,24
1828,VALID,Comment me rendre à Saint-Omer depuis Carcassonne ?,Carcassonne,Saint-Omer,3
3724,INVALID,La distance entre Orleans et Laval,Orléans,Laval,20
1248,VALID,Trajet de Manosqeu vers VVienne,Manosque,Vienne,11
3879,INVALID,J'habite aa Gap ,Gap,Lisieux,17
2026,INVALID,quelle est la population de tarbes ?,Tarbes,Chalon-sur-Saône,22
295,VALID,Un aller simple Boulogne-sur-Mer Besançon,Boulogne-sur-Mer,Besançon,10
1629,VALID,Je cherche un train Concarneau Langres,Concarneau,Langres,14
2729,INVALID,Restaurant à Rodez,Rodez,Brest,25
1604,VALID,Trajet de Manosque vers Châlons-en-Champagne,Manosque,Châlons-en-Champagne,11
1905,INVALID,la distance entre évreux et orange,Évreux,Orange,20
3822,INVALID,Bonjour,Chinon,Lisieux,21
3105,INVALID,Le maire de Modane,Modane,Nîmes,24
246,VALID,un aller simple évry aubenas,Évry,Aubenas,10
2110,INVALID,quelle est la population de segr é?,Segré,Grenoble,22
1568,VALID,Je dois me rendre de Privas à Avranches,Privas,Avranches,7
